stage_id,phase,dataset,method,fusion_mode,regime,seed_id,init_seed,sampler_seed,worker_seed,augmentation_seed,corruption_seed,epochs,lr,batch_size,config,config_sha256,output_dir,resume_stage_id,resume,checkpoint_for_eval,endpoint_role,claim_bearing,descriptive_single_seed,split_protocol,evidence_version
M3-001,main,vaihingen,fixed_late,fixed_average,base_clean,101,10111,10122,10133,10144,10155,45,0.0003,8,configs/minimal_claim_m2_r2_20260716/main/m3-001_vaihingen_fixed_late_base_clean.yaml,94683C62EFF89D4B48E2D65B43452C3AB7FCA840CACBFC1FE438D1E5DDFA0CB9,outputs/qalf_minimal_m2_20260715/main/vaihingen/fixed_late/seed_101/base_clean,,,outputs/qalf_minimal_m2_20260715/main/vaihingen/fixed_late/seed_101/base_clean/last_model.pt,budget_anchor,false,false,qalf-confirmatory-v1,qalf_minimal_m2_20260715
M3-002,main,vaihingen,fixed_late,fixed_average,clean_continuation,101,10111,10122,10133,10144,10155,28,3e-05,8,configs/minimal_claim_m2_r2_20260716/main/m3-002_vaihingen_fixed_late_clean_continuation.yaml,F9F2445F24947EFA40FA91A1D2901137B404643F1BFD12E0A4BB7A57E32090EF,outputs/qalf_minimal_m2_20260715/main/vaihingen/fixed_late/seed_101/clean_continuation,M3-001,outputs/qalf_minimal_m2_20260715/main/vaihingen/fixed_late/seed_101/base_clean/last_model.pt,outputs/qalf_minimal_m2_20260715/main/vaihingen/fixed_late/seed_101/clean_continuation/last_model.pt,primary,true,false,qalf-confirmatory-v1,qalf_minimal_m2_20260715
M3-003,main,vaihingen,fixed_late,fixed_average,robust,101,10111,10122,10133,10144,10155,28,3e-05,8,configs/minimal_claim_m2_r2_20260716/main/m3-003_vaihingen_fixed_late_robust.yaml,15C5AEF04F3966FD3507FD226278BB99569A443B37D05B0B1D98CE4FA70D89F9,outputs/qalf_minimal_m2_20260715/main/vaihingen/fixed_late/seed_101/robust,M3-001,outputs/qalf_minimal_m2_20260715/main/vaihingen/fixed_late/seed_101/base_clean/last_model.pt,outputs/qalf_minimal_m2_20260715/main/vaihingen/fixed_late/seed_101/robust/last_model.pt,primary,true,false,qalf-confirmatory-v1,qalf_minimal_m2_20260715
M3-004,main,vaihingen,fixed_late,fixed_average,base_clean,202,20211,20222,20233,20244,20255,45,0.0003,8,configs/minimal_claim_m2_r2_20260716/main/m3-004_vaihingen_fixed_late_base_clean.yaml,FB3E3E144986C1D85DAA6AC3C1671FCA657487A15C6E757C84AD81E6094000CE,outputs/qalf_minimal_m2_20260715/main/vaihingen/fixed_late/seed_202/base_clean,,,outputs/qalf_minimal_m2_20260715/main/vaihingen/fixed_late/seed_202/base_clean/last_model.pt,budget_anchor,false,false,qalf-confirmatory-v1,qalf_minimal_m2_20260715
M3-005,main,vaihingen,fixed_late,fixed_average,clean_continuation,202,20211,20222,20233,20244,20255,28,3e-05,8,configs/minimal_claim_m2_r2_20260716/main/m3-005_vaihingen_fixed_late_clean_continuation.yaml,953D86CB58376D7BC95CAC63AA212CF3E1ABFDBE796B0A67DFDD3901E8531375,outputs/qalf_minimal_m2_20260715/main/vaihingen/fixed_late/seed_202/clean_continuation,M3-004,outputs/qalf_minimal_m2_20260715/main/vaihingen/fixed_late/seed_202/base_clean/last_model.pt,outputs/qalf_minimal_m2_20260715/main/vaihingen/fixed_late/seed_202/clean_continuation/last_model.pt,primary,true,false,qalf-confirmatory-v1,qalf_minimal_m2_20260715
M3-006,main,vaihingen,fixed_late,fixed_average,robust,202,20211,20222,20233,20244,20255,28,3e-05,8,configs/minimal_claim_m2_r2_20260716/main/m3-006_vaihingen_fixed_late_robust.yaml,461E43FDDF14971B937259D319E545168BF254E9A7220235821C15C6E1383D46,outputs/qalf_minimal_m2_20260715/main/vaihingen/fixed_late/seed_202/robust,M3-004,outputs/qalf_minimal_m2_20260715/main/vaihingen/fixed_late/seed_202/base_clean/last_model.pt,outputs/qalf_minimal_m2_20260715/main/vaihingen/fixed_late/seed_202/robust/last_model.pt,primary,true,false,qalf-confirmatory-v1,qalf_minimal_m2_20260715
M3-007,main,vaihingen,fixed_late,fixed_average,base_clean,303,30311,30322,30333,30344,30355,45,0.0003,8,configs/minimal_claim_m2_r2_20260716/main/m3-007_vaihingen_fixed_late_base_clean.yaml,74B0B123DA20DF652A79049371E178D5E53D7B6B6FA83EE8815A9F901C7BE1B3,outputs/qalf_minimal_m2_20260715/main/vaihingen/fixed_late/seed_303/base_clean,,,outputs/qalf_minimal_m2_20260715/main/vaihingen/fixed_late/seed_303/base_clean/last_model.pt,budget_anchor,false,false,qalf-confirmatory-v1,qalf_minimal_m2_20260715
M3-008,main,vaihingen,fixed_late,fixed_average,clean_continuation,303,30311,30322,30333,30344,30355,28,3e-05,8,configs/minimal_claim_m2_r2_20260716/main/m3-008_vaihingen_fixed_late_clean_continuation.yaml,D62EB35F8B18C7D252854108B847C67F352350C0C8E0568B07A80860806B58F3,outputs/qalf_minimal_m2_20260715/main/vaihingen/fixed_late/seed_303/clean_continuation,M3-007,outputs/qalf_minimal_m2_20260715/main/vaihingen/fixed_late/seed_303/base_clean/last_model.pt,outputs/qalf_minimal_m2_20260715/main/vaihingen/fixed_late/seed_303/clean_continuation/last_model.pt,primary,true,false,qalf-confirmatory-v1,qalf_minimal_m2_20260715
M3-009,main,vaihingen,fixed_late,fixed_average,robust,303,30311,30322,30333,30344,30355,28,3e-05,8,configs/minimal_claim_m2_r2_20260716/main/m3-009_vaihingen_fixed_late_robust.yaml,8F811D4109AA5AAE7F42BB22C4087288230F2DBB7F6112A3AD40BDAB15468B05,outputs/qalf_minimal_m2_20260715/main/vaihingen/fixed_late/seed_303/robust,M3-007,outputs/qalf_minimal_m2_20260715/main/vaihingen/fixed_late/seed_303/base_clean/last_model.pt,outputs/qalf_minimal_m2_20260715/main/vaihingen/fixed_late/seed_303/robust/last_model.pt,primary,true,false,qalf-confirmatory-v1,qalf_minimal_m2_20260715
M3-010,main,vaihingen,qalf,dynamic_gated,base_clean,101,10111,10122,10133,10144,10155,45,0.0003,8,configs/minimal_claim_m2_r2_20260716/main/m3-010_vaihingen_qalf_base_clean.yaml,0F4EC2F4E73860633F568B0033B65AD3E71C6A6193134ECAD5A806D41E6E0A31,outputs/qalf_minimal_m2_20260715/main/vaihingen/qalf/seed_101/base_clean,,,outputs/qalf_minimal_m2_20260715/main/vaihingen/qalf/seed_101/base_clean/last_model.pt,budget_anchor,false,false,qalf-confirmatory-v1,qalf_minimal_m2_20260715
